,description
547,"MBE F Replace Solenoid Valve FXVY 2A13 As found condition: To replace Solenoid valve FXVY 2A13.  Actions taken during Resolve Myself, Do Troubleshooting andAdvance Troubleshooting: Clear cut  defect.  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Finding during manual stroke by PO and DM  Source of Problem: Solenoid valve problem  As left condition: MBE F in shutdown due to regen not Completed  PKP and Troubleshooter name & contact number: M Adib Izham. Assist by Burhan CNI  Advance Troubleshooting e-Log Number: N/A  Special Tools/ Service/ Equipment required: N/A  Attachments:  N/A  Equipment operation need date: 4th Nov 2020  Rectification Window: 24th Nov 20  Remarks: CNI to replace solenoid valve FXVY \xe2\x80\x93 2A13 MBE F Replace Solenoid Valve FXVY 2A13 MBE F Replace Solenoid Valve FXVY 2A13 As found condition: To replace Solenoid valve FXVY 2A13.  Actions taken during Resolve Myself, Do Troubleshooting andAdvance Troubleshooting: Clear cut  defect.  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Finding during manual stroke by PO and DM  Source of Problem: Solenoid valve problem  As left condition: MBE F in shutdown due to regen not Completed  PKP and Troubleshooter name & contact number: M Adib Izham. Assist by Burhan CNI  Advance Troubleshooting e-Log Number: N/A  Special Tools/ Service/ Equipment required: N/A  Attachments:  N/A  Equipment operation need date: 4th Nov 2020  Rectification Window: 24th Nov 20  Remarks: CNI to replace solenoid valve FXVY \xe2\x80\x93 2A13"
548,MBE regen flowmeter (122FIA-2A08) faulty MBE regen flowmeter (122FIA-2A08)faulty giving bad signal MBE regen flowmeter (122FIA-2A08) faulty MBE regen flowmeter (122FIA-2A08) faulty MBE regen flowmeter (122FIA-2A08)faulty giving bad signal
549,"Excess DEMIN Return Line (122FIA-2A11-TX Excess DEMIN Return Line (122FIA-2A11-TX) reading was badly fluctuated.  1st line t/shooting: Transmitter was located at high side. Return line DEMIN water tank CV (122PCV-2A04-IC) was on manual mode and in closed position. No flow should be reflected at FIA-2A11, however, reading was shown and badly fluctuated. CV was confirmed not passing as we had closed manual valve before the flow transmitter (122FIA-2A11-TX). Trending as per attachment list.  Troubleshooter: C&I t/shooter found output card problem. Need to replace new card. Replace Card 122FIA-2A11-TX Flowmeter Replace Card 122FIA-2A11-TX Flowmeter  Excess DEMIN Return Line (122FIA-2A11-TX Excess DEMIN Return Line (122FIA-2A11-TX) reading was badly fluctuated.  1st line t/shooting: Transmitter was located at high side. Return line DEMIN water tank CV (122PCV-2A04-IC) was on manual mode and in closed position. No flow should be reflected at FIA-2A11, however, reading was shown and badly fluctuated. CV was confirmed not passing as we had closed manual valve before the flow transmitter (122FIA-2A11-TX). Trending as per attachment list.  Troubleshooter: C&I t/shooter found output card problem. Need to replace new card."
550,"MMF F FPDIA-2A01 DP READING UNDEFINED As found condition: FPDIA-2A01 Accross MMF F dP reading bad value  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: 1.Reading Bad value -0.20 kg/cm3 2.No leak at manifold,tubing or connection 3.No leakage ,No water ingress , Cable ok connected 4.Flushing at manifold done 5 Cannot perform zeroing due to display blank  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - Check for power - ok - Disconnect signal cable and reconnect - Connect Hart communicator, no connection.  Source of Problem: Transmitter  As left condition: Stop MMF and put preservation every night, running another MMF on standby  PKP and Troubleshooter name & contact number : PKP: M Fauzi Troubleshooter: M Adib Idzam  Advance Troubleshooting eLog Number: eLOG-UK-DEMIN2-20-01415  Special Tools/ Service/ Equipment required: N/A  Attachments: N/A  Equipment operation need date: 22/11/2020  Rectification Window: Anytime  Remarks: ABT C&I to replace transmitter Model number 3051 CD3A22A1BM5B4E304 12798 MMF F TO REPLACE  FPDIA-2A01 DP READING MMF F TO REPLACE  FPDIA-2A01 DP READING As found condition: FPDIA-2A01 Accross MMF F dP reading bad value  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: 1.Reading Bad value -0.20 kg/cm3 2.No leak at manifold,tubing or connection 3.No leakage ,No water ingress , Cable ok connected 4.Flushing at manifold done 5 Cannot perform zeroing due to display blank  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: - Check for power - ok - Disconnect signal cable and reconnect - Connect Hart communicator, no connection.  Source of Problem: Transmitter  As left condition: Stop MMF and put preservation every night, running another MMF on standby  PKP and Troubleshooter name & contact number : PKP: M Fauzi Troubleshooter: M Adib Idzam  Advance Troubleshooting eLog Number: eLOG-UK-DEMIN2-20-01415  Special Tools/ Service/ Equipment required: N/A  Attachments: N/A  Equipment operation need date: 22/11/2020  Rectification Window: Anytime  Remarks: ABT C&I to replace transmitter Model number 3051 CD3A22A1BM5B4E304 12798"
551,"MMF F FPDIA-2A01 DP READING UNDEFINED 1)As found condition: FPDIA-2A01 Accross MMF F dP reading bad value  2)Actions taken during Do Troubleshooting: Reading Bad value -0.20 kg/cm3  3)Actions taken during Advance Troubleshooting: Check for power - ok Disconnect signal cable and reconnect Connect Hart communicator, no connection Flushing at manifold done  4)Findings/Observations during Do Troubleshooting: No leak at manifold,tubing or connection No leakage, No water ingress, Cable ok connected  5)Findings/Observations during Advance Troubleshooting: Cannot perform zeroing due to display blank  6)Source of Problem: Transmiter  7)As left condition: Stop MMF F and put preservation every night, running another MMF on standby  8)PKP and Troubleshooter name & contact number: PKP: M Fauzi Troubleshooter: M Adib Idzam  9)Task: ABT C&I to replace transmitter Model number 3051 CD3A22A1BM5B4E304 12798  10)Advance Troubleshooting eLog Number: eLOG-UK-DEMIN2-20-01415  11)Special Tools/ Service/ Equipment required: NA  12)Attachments: NA  13)Equipment operation need date: 31/03/2021  14)Rectification Window: Anytime  15)MOC No: NA  16)Remarks: NA REPLACE TRANSMITTER FPDIA-2A01 AT MMF F REPLACE TRANSMITTER FPDIA-2A01 AT MMF F MMF F FPDIA-2A01 DP READING UNDEFINED 1)As found condition: FPDIA-2A01 Accross MMF F dP reading bad value  2)Actions taken during Do Troubleshooting: Reading Bad value -0.20 kg/cm3  3)Actions taken during Advance Troubleshooting: Check for power - ok Disconnect signal cable and reconnect Connect Hart communicator, no connection Flushing at manifold done  4)Findings/Observations during Do Troubleshooting: No leak at manifold,tubing or connection No leakage, No water ingress, Cable ok connected  5)Findings/Observations during Advance Troubleshooting: Cannot perform zeroing due to display blank  6)Source of Problem: Transmiter  7)As left condition: Stop MMF F and put preservation every night, running another MMF on standby  8)PKP and Troubleshooter name & contact number: PKP: M Fauzi Troubleshooter: M Adib Idzam  9)Task: ABT C&I to replace transmitter Model number 3051 CD3A22A1BM5B4E304 12798  10)Advance Troubleshooting eLog Number: eLOG-UK-DEMIN2-20-01415  11)Special Tools/ Service/ Equipment required: NA  12)Attachments: NA  13)Equipment operation need date: 31/03/2021  14)Rectification Window: Anytime  15)MOC No: NA  16)Remarks: NA"
552,"MMF G, GFIA-2A12, no flow when put in se MMF G, GFIA-2A12, no flow when put in service  Notification Rejected By:  Ahmad Zuhair Abu Bakar 1020557 Rejection date/time: 02.12.2015 15:58:01 Reason for Rejection: Redundant with Notification no 23360791 MMF G, GFIA-2A12, no flow when put in se MMF G, GFIA-2A12, no flow when put in se MMF G, GFIA-2A12, no flow when put in service  Notification Rejected By:  Ahmad Zuhair Abu Bakar 1020557 Rejection date/time: 02.12.2015 15:58:01 Reason for Rejection: Redundant with Notification no 23360791"
553,"MMF G, inlet flowmeter 2A12 faulty MMF G, inlet flowmeter 2A12 reading faulty MMF G, inlet flowmeter 2A12 faulty MMF G, inlet flowmeter 2A12 faulty MMF G, inlet flowmeter 2A12 reading faulty"
554,"MMF K INLET FLOW READING FAULTY Work Request : C&I to replace electronic card for inlet flow MMF K (KFIA-2A12) due to reading faulty.  1st line T/shooting: 1)Stop MMF observe flow still fluctuated and undefine continuesly. 2)Visual inspection no abnomalities at transmitter  T/shooter: 1)Isolate inlet block valve,drain process line.Flow transmitter still fluctuate. 2)Check power supply,good. 3)Check mA output fluctuate until 21.1mA 4)Connect hart comm,alarm appear: #Digital filter error #Electronic failure. replace flow card meter 122kfia-2a12-tx replace flow card meter 122kfia-2a12-tx Work Request : C&I to replace electronic card for inlet flow MMF K (KFIA-2A12) due to reading faulty.  1st line T/shooting: 1)Stop MMF observe flow still fluctuated and undefine continuesly. 2)Visual inspection no abnomalities at transmitter  T/shooter: 1)Isolate inlet block valve,drain process line.Flow transmitter still fluctuate. 2)Check power supply,good. 3)Check mA output fluctuate until 21.1mA 4)Connect hart comm,alarm appear: #Digital filter error #Electronic failure."
555,MMF K:TO REPLACE TX ELECTRONIC CARD MMF K:FLOW TRANSMITTER READING FAULTY  1st Line T/S: 1.No abnormalities at the transmitter. 2.All cable in good condition.  Integrated T/S: TS found card problem  Work Request: To replace transmitter card.  Tag Number and name: KFIA-2A12 Inlet Flow Transmitter  Remark: MMF K:TO REPLACE TX ELECTRONIC CARD MMF K:TO REPLACE TX ELECTRONIC CARD MMF K:FLOW TRANSMITTER READING FAULTY  1st Line T/S: 1.No abnormalities at the transmitter. 2.All cable in good condition.  Integrated T/S: TS found card problem  Work Request: To replace transmitter card.  Tag Number and name: KFIA-2A12 Inlet Flow Transmitter  Remark:
556,"MRO K: PRESSURE TX READING NOT TALLY AT MRO K: PRESSURE TX READING NOT TALLY AT SITE WITH DCS CAUSING PUMP TRIP.  1st Line T/S: 1. OPN perform visual check and found  reading not tally at pressure TX compare with DCS (122KPIA-2A03-TX). 2. OPN inform C&I for further advance t/shooting.  Troubleshooter: 1. C&I request OPN to raise SAP for replace new pressure TX during unit shutdown.  Work Request: 1. OPN raise SAP. 2. OPN request C&I to replace new pressure TX during unit shutdown.  Remark: 1. Refer to the picture as per attach. MRO K: PRESSURE TX READING NOT TALLY AT MRO K: PRESSURE TX READING NOT TALLY AT MRO K: PRESSURE TX READING NOT TALLY AT SITE WITH DCS CAUSING PUMP TRIP.  1st Line T/S: 1. OPN perform visual check and found  reading not tally at pressure TX compare with DCS (122KPIA-2A03-TX). 2. OPN inform C&I for further advance t/shooting.  Troubleshooter: 1. C&I request OPN to raise SAP for replace new pressure TX during unit shutdown.  Work Request: 1. OPN raise SAP. 2. OPN request C&I to replace new pressure TX during unit shutdown.  Remark: 1. Refer to the picture as per attach.  PRESSURE TX,ASU2 TRANSMITTER OPERATIONAL CHECK"
557,"FW TANK D:LEVEL TX FLUCTUATED 1)As found condition: 122LIA-022-TX Fire Water Tank Level Reading Low 2)Actions taken during Do Troubleshooting: Verify site condition 3)Actions taken during Advance Troubleshooting: Verify other parameter 4)Findings/Observations during Do Troubleshooting: No abnormalities 5)Findings/Observations during Advance Troubleshooting: Observe reading deviation very high compared to LICA-021, LA-032, LIA-023 6)Source of Problem: Possible transmitter faulty 7)As left condition: NA 8)PKP and Troubleshooter name & contact number: Zuhair 0133216861 9)Task: To perform replacement of level transmitter (Material no: 50781778) 10)Advance Troubleshooting eLog Number: eLOG-GPU-UK OCW-2021-32007 11)Special Tools/ Service/ Equipment required: Common tools, HART Communicator 12)Attachments: Tank display, datasheet 13)Equipment operation need date: Upon material arrival 14)Rectification Window: Upon material arrival 15)MOC No: NA 16)Remarks: Manpower = 2 C&I DM Duration = 1 day LIA-022 FW Tank Replace Transmitter LIA-022 FW Tank Replace Transmitter FW TANK D:LEVEL TX FLUCTUATED  1st Line T/S: 1.Field operator perform visual check at site.No abnormal founding.  Integrated T/S: Observe TX kaput Rquest to raise SAP  Work Request: 1. To replace new Transmitter 2. To isolate impulse line   Tag Number and name: 122LIA-022-TX  Remark: Leak during heavy rain. "
558,FW TANK D LEVEL FLUCTUATED WORK REQUEST TASK:To request C&I replace output card for RW tank D level transmitter  TAG NUMBER AND NAME: LIA-022-TX RW Tank D Level Transmitter  INTERGRATED TROOBLESHOOT:C&I t/shooter-request to replace output card REMARKS: NA Replace Card LIA-022-TX RW Tank D Replace Card LIA-022-TX RW Tank D  FW TANK D LEVEL FLUCTUATED WORK REQUEST TASK:To request C&I replace output card for RW tank D level transmitter  TAG NUMBER AND NAME: LIA-022-TX RW Tank D Level Transmitter  INTERGRATED TROOBLESHOOT:C&I t/shooter-request to replace output card REMARKS: NA
559,DEMIN - CP ACID REGEN VALVE XVY-7A20 FAU DEMIN - CP ACID REGEN VALVE XVY-7A20 FAULTY. CAN'T OPERATE. DEMIN - CP ACID REGEN VALVE XVY-7A20 FAU DEMIN - CP ACID REGEN VALVE XVY-7A20 FAU DEMIN - CP ACID REGEN VALVE XVY-7A20 FAULTY. CAN'T OPERATE.
560,"Reading 45% NaOH level not stable, fluct Defect : Reading 45% NaOH level not stable, fluctuate (LIA-2A08).  # 1st line t/shooter : Observed by SS Ponchi and Nor Azlan C&I, the level transmitter shows unstabble reading.  # T/shooter : Troublehooter Nor Azlan found that the LIA-2A08 need to be calibrated because the reading is not stable. When zeroing performed, amp reading at 3.9A. It should be 4amp.  # Remark from TS : To perform re-range and calibrate level transmitter. Calibrate/Replace LIA-2A08 Calibrate/Replace LIA-2A08  Reading 45% NaOH level not stable, fluct Defect : Reading 45% NaOH level not stable, fluctuate (LIA-2A08).  # 1st line t/shooter : Observed by SS Ponchi and Nor Azlan C&I, the level transmitter shows unstabble reading.  # T/shooter : Troublehooter Nor Azlan found that the LIA-2A08 need to be calibrated because the reading is not stable. When zeroing performed, amp reading at 3.9A. It should be 4amp.  # Remark from TS : To perform re-range and calibrate level transmitter."
561,45% NAOH TANK LEVEL TRANSMITTER FAULT 45% NAOH TANK LEVEL TRANSMITTER FAULT  WORK REQUEST TASK:To request C&I to replace new 2 way monifold.  TAG NUMBER AND NAME: LIA-2A08 45% NAOH Tank Level Transmitter.  INTERGRATED TROOBLESHOOT: OPN - Perform observation found reading not tally with DCS reading. Nothing abnormal at site. C&I - Perform troubleshooting and found transmitter 2 way monifold cloged. Suggest to replace new 2 way monifold. Request to raised defect.  REMARKS: NA 45% NAOH TANK LEVEL TRANSMITTER FAULT 45% NAOH TANK LEVEL TRANSMITTER FAULT 45% NAOH TANK LEVEL TRANSMITTER FAULT  WORK REQUEST TASK:To request C&I to replace new 2 way monifold.  TAG NUMBER AND NAME: LIA-2A08 45% NAOH Tank Level Transmitter.  INTERGRATED TROOBLESHOOT: OPN - Perform observation found reading not tally with DCS reading. Nothing abnormal at site. C&I - Perform troubleshooting and found transmitter 2 way monifold cloged. Suggest to replace new 2 way monifold. Request to raised defect.  REMARKS: NA
562,4% Neut. NaOH Tank level faulty 4% Neut. NaOH Tank level not tally between DCS and field (LIA 2A10 TX).DCS level stuck at 72 mmH2O and actual at site 0%.For refrence: 1)Model Number  : 3051TG1A2B21BB4M5 2)Serial Number : 11579884  1st line t/shooting : Finding at site actual level low 0%. AT DCS transmitter stuck at 72 mmH2O.OPN perform RM by remove clog at impulse line flange discharge tank.  T/Shooter : C&I troubleshooter found that transmitter already broken.Suggest to raise defect replace new transmitter.  Pictures as per attachment Replace PT LIA 2A10 Replace PT LIA 2A10  4% Neut. NaOH Tank level faulty 4% Neut. NaOH Tank level not tally between DCS and field (LIA 2A10 TX).DCS level stuck at 72 mmH2O and actual at site 0%.For refrence: 1)Model Number  : 3051TG1A2B21BB4M5 2)Serial Number : 11579884  1st line t/shooting : Finding at site actual level low 0%. AT DCS transmitter stuck at 72 mmH2O.OPN perform RM by remove clog at impulse line flange discharge tank.  T/Shooter : C&I troubleshooter found that transmitter already broken.Suggest to raise defect replace new transmitter.  Pictures as per attachment
563,"Raw Water Break Tank B Level Transmitter Raw Water Break Tank B Level Transmitter (122LICA-004-TX) reading undefined.  1st line t/shooting: Perform line walk and check process parameters, found no abnormalities. FO perform visual inspection and found no abnormalitied. Trending as per attached.  T/shooter: C&I t/shooter perform sensor cleaning. However, reading still undefined. To replace transmitter FMU 231. Replace LICA-004 Level Tx Replace LICA-004 Level Tx  Raw Water Break Tank B Level Transmitter Raw Water Break Tank B Level Transmitter (122LICA-004-TX) reading undefined.  1st line t/shooting: Perform line walk and check process parameters, found no abnormalities. FO perform visual inspection and found no abnormalitied. Trending as per attached.  T/shooter: C&I t/shooter perform sensor cleaning. However, reading still undefined. To replace transmitter FMU 231."
564,"DW TANK A MBE INLET VALVE STUCK CLOSE Work Request : C&I to replace positioner cover and I/P current to pneumatic transducer at 122LICA-011-CV Demin Tank A.Valve stuck at close position.  1st line T/shooting: 1)Visual inspection no abnormal condition. 2)Instrument air condition available.  T/Shooter: 1.Positioner cover broken. 2.Perform stroking check valve no response,check command from DCS good. 3.Perform manual stroking at site valve response. LICA-011 : Replace Positioner LICA-011 : Replace Positioner Work Request : C&I to replace positioner cover and I/P current to pneumatic transducer at 122LICA-011-CV Demin Tank A.Valve stuck at close position.  1st line T/shooting: 1)Visual inspection no abnormal condition. 2)Instrument air condition available.  T/Shooter: 1.Posiitioner cover broken. 2.Perform stroking check valve no response,check command from DCS good. 3.Perform manual stroking at site valve response."
565,DEMIN TANK TANKER LOADING VALVE CORRODED DEMIN TANK TANKER LOADING VALVE CORRODED  WORK REQUEST TASK: MSTAT to replace new valve.  TAG NUMBER AND NAME: Demin Tank B tanker loading valve  INTERGRATED TROOBLESHOOT: OPN- Perform visual inspection found valve badly corroded. MSTAT- Perform visual inspection and suggest to replace new valve. Request to raised defect.  REMARKS: Refer attachment DEMIN: to install new flange and replace DEMIN: to install new flange and replace valve at DEMIN Tank B loading area  DEMIN TANK TANKER LOADING VALVE CORRODED DEMIN TANK TANKER LOADING VALVE CORRODED  WORK REQUEST TASK: MSTAT to replace new valve.  TAG NUMBER AND NAME: Demin Tank B tanker loading valve  INTERGRATED TROOBLESHOOT: OPN- Perform visual inspection found valve badly corroded. MSTAT- Perform visual inspection and suggest to replace new valve. Request to raised defect.  REMARKS: Refer attachment
566,"RAW WATER- Break tank A LZA-001-TX, Leve RAW WATER- Break tank A LZA-001-TX, Level fluctuate and make motor tripped. Finding from Troubleshooter : C&I Burhan-Clean sensor but reading still fluctuate on small gap. pls create SAP notification to replace new  transmitter. LZA-001 Replace Level Transmitter LZA-001 Replace Level Transmitter RAW WATER- Break tank A LZA-001-TX, Level fluctuate and make motor tripped. Finding from Troubleshooter : C&I Burhan-Clean sensor but reading still fluctuate on small gap. pls create SAP notification to replace new  transmitter."
567,"Break tank A, 122LZA-001-TX reading faul Break tank A, 122LZA-001-TX reading faulty  Notification Rejected By:  Ahmad Zuhair Abu Bakar 1020557 Rejection date/time: 02.12.2015 15:57:23 Reason for Rejection: No defect. The transmitter working fine Break tank A, 122LZA-001-TX reading faul Break tank A, 122LZA-001-TX reading faul Break tank A, 122LZA-001-TX reading faulty  Notification Rejected By:  Ahmad Zuhair Abu Bakar 1020557 Rejection date/time: 02.12.2015 15:57:23 Reason for Rejection: No defect. The transmitter working fine"
568,"BREAK TANK B LZA-003-TX FAULTY As found condition: BREAK TANK B LZA-003-TX FAULTY  1. Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting:  # Make trending found reading undefined and fluctuated. # OTF visual inspect no abnormalities found.  2. Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: # C&I attend and requested to raised notification to replace new transmitter FMU 41 endress + Hauser.  3. Source of Problem: # Reading Faulty.  4. As left condition: # Under monitoring.  5. PKP and Troubleshooter name & contact number: # PKP      : Mohamad (5422) # T/Shooter: Burhan  6. Advance Troubleshooting eLog Number: # N/A (Clear cut of defect)  7. Special Tools/ Service/ Equipment required: # N/A  8. Attachments: # Picture  9. Equipment operation need date: # 26/11/2020 (1 day)  10. Rectification Window: # N/A 11. Remarks: # requested to raised notification to replace new transmitter FMU 41 endress + Hauser # Requested manpower ad-hoc (on call). TO REPLACE BREAK TANK B LZA-003-TX FAULT TO REPLACE BREAK TANK B LZA-003-TX FAULT As found condition: BREAK TANK B LZA-003-TX FAULTY  1. Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting:  # Make trending found reading undefined and fluctuated. # OTF visual inspect no abnormalities found.  2. Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: # C&I attend and requested to raised notification to replace new transmitter FMU 41 endress + Hauser.  3. Source of Problem: # Reading Faulty.  4. As left condition: # Under monitoring.  5. PKP and Troubleshooter name & contact number: # PKP      : Mohamad (5422) # T/Shooter: Burhan  6. Advance Troubleshooting eLog Number: # N/A (Clear cut of defect)  7. Special Tools/ Service/ Equipment required: # N/A  8. Attachments: # Picture  9. Equipment operation need date: # 26/11/2020 (1 day)  10. Rectification Window: # N/A 11. Remarks: # requested to raised notification to replace new transmitter FMU 41 endress + Hauser # Requested manpower ad-hoc (on call)."
569,MMF M MFIA-2A12 reading faulty  MMF M MFIA-2A12 reading faulty MMF M MFIA-2A12 reading faulty
570,Potable water recycle pressure transmitt Potable water recycle pressure transmitter (121PIA-010-TX) reading fluctuate. FO perform checking and found no abnormalities. Line fore the transmitter was isolated due to reading high and alarm continuously appeared at DCS.  Troubleshooter: To replace new card for the transmitter. To replace electronic card To replace electronic card Potable water recycle pressure transmitter (121PIA-010-TX) reading fluctuate. FO perform checking and found no abnormalities. Line fore the transmitter was isolated due to reading high and alarm continuously appeared at DCS.  Troubleshooter: To replace new card for the transmitter.
571,"CW MAKE UP SAMPLING POINT CLOG Work request: MSTAT to service Cooling Water make up sampling point near CV make up water (LICA001-CV)due to clogged. Impact no sample for analysis.  1st line t/shooting:  1)Fully open valve,no flow. 2)Try to remove any foreign material inside line,no flow coming out. 3)Utilise alternative sampling point as temporary  T/Shooter (Aziz) request to raise defect.  Please refer picture at attachment CW:TO RELACE VALVE SAMPLING POINT MAKEUP CW:TO RELACE VALVE SAMPLING POINT MAKEUP WATER LINE   CW MAKE UP SAMPLING POINT CLOG Work request: MSTAT to service Cooling Water make up sampling point near CV make up water (LICA001-CV)due to clogged. Impact no sample for analysis.  1st line t/shooting:  1)Fully open valve,no flow. 2)Try to remove any foreign material inside line,no flow coming out. 3)Utilise alternative sampling point as temporary  T/Shooter (Aziz) request to raise defect.  Please refer picture at attachment"
572,Cooling tower basin level control valve Cooling tower basin level control valve badly passing Replace LICA 001 CWT Level Replace LICA 001 CWT Level Cooling tower basin level control valve badly passing
573,"CW LICA-001-TX READING FLUCTUATED As found condition: To raised notification for level transmitter replacement (123LICA-001-TX)  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Check power supply 16.47 vdc, Check power supply connection not good, Redo new connection, Remove JB and direct connect to TX  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Found during check,the card mA output found water inggress  Source of Problem:Level transmitter problem  As left condition:To replace new level transmitter  PKP and Troubleshooter name & contact number:Noor Azlan C&I  Advance Troubleshooting eLog Number:eLOG-UK-COGEN2-20-00978  Attachments:NA  Rectification Window:NA  Remarks:NA replace 123 LICA-001-TX replace 123 LICA-001-TX As found condition: To raised notification for level transmitter replacement (123LICA-001-TX)  Actions taken during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Check power supply 16.47 vdc, Check power supply connection not good, Redo new connection, Remove JB and direct connect to TX  Findings/ Observations during Resolve Myself, Do Troubleshooting and Advance Troubleshooting: Found during check,the card mA output found water inggress  Source of Problem:Level transmitter problem  As left condition:To replace new level transmitter  PKP and Troubleshooter name & contact number:Noor Azlan C&I  Advance Troubleshooting eLog Number:eLOG-UK-COGEN2-20-00978  Attachments:NA  Rectification Window:NA  Remarks:NA"
574,CW Basin: Level tx LZA-002 heavily fluct CW Basin: Level tx LZA-002 reading heavily fluctuate - causing CW pump C to tripped. CW Basin: Level tx LZA-002 heavily fluct CW Basin: Level tx LZA-002 heavily fluct CW Basin: Level tx LZA-002 reading heavily fluctuate - causing CW pump C to tripped.
575,Safeguarding level at Cooling Tower Safeguarding level at Cooling Tower(LZA-004-TX) reading faulty (reading dip causing CW pump B tripped) Safeguarding level at Cooling Tower Safeguarding level at Cooling Tower Safeguarding level at Cooling Tower(LZA-004-TX) reading faulty (reading dip causing CW pump B tripped)
576,LZA 004 Replace Transmitter  LZA 004 Replace Transmitter LZA 004 Replace Transmitter
577,"CWP B, tripped due to LZA-004-TX reading CWP B, tripped due to LZA-004-TX reading faulty CWP B, tripped due to LZA-004-TX reading CWP B, tripped due to LZA-004-TX reading CWP B, tripped due to LZA-004-TX reading faulty"
578,"Cooling Water pump B level safeguarding, Cooling Water pump B level safeguarding, 123LZA-004-TX, reading faulty/flactuate Cooling Water pump B level safeguarding, Cooling Water pump B level safeguarding, Cooling Water pump B level safeguarding, 123LZA-004-TX, reading faulty/flactuate"
579,LZA 006 Replace Transmitter  LZA 006 Replace Transmitter LZA 006 Replace Transmitter
580,CW: Basin level tx LZA-007 faulty CW: Basin level tx LZA-007 faulty.  Note: However CWP E did not trip - need to check why did not trip even LZA activated. CW: Basin level tx LZA-007 faulty CW: Basin level tx LZA-007 faulty CW: Basin level tx LZA-007 faulty.  Note: However CWP E did not trip - need to check why did not trip even LZA activated.
581,"CW SPILLBACK (PICA-001-CV) STUCK 90% CW SPILLBACK (PICA-001-CV) OPENING STUCK AT 90%  Problem Statement: PICA-001-CV (spillback CV) at site opening 90% compared with DCS opening at 0%.  1st Line T/Shooting: 1) Visual inspection no abnormalities. 2) Linkage and IA in good condition. 3) Perform stroking and give command from DCS at opening 20,50,75, and 100. However, CV opening still maintain at 90%.  ATR: As found: 1)Leakage at tubing connector between fairchild relay to the trip valve. 2)Leakage at fairchild relay. 3)Valve stuck. Advice to raise defect 1)Rectify but still minor leak.  Work Request: 1)To replace new/or replace new positioner. 2)To service/replace new valve due to the gland packing,nut badly corroded.Valve body corrodded at bonet flange.  Remarks: NA PICA-001 : To replace control valve PICA-001 : To replace control valve CW SPILLBACK (PICA-001-CV) OPENING STUCK AT 90%  Problem Statement: PICA-001-CV (spillback CV) at site opening 90% compared with DCS opening at 0%.  1st Line T/Shooting: 1) Visual inspection no abnormalities. 2) Linkage and IA in good condition. 3) Perform stroking and give command from DCS at opening 20,50,75, and 100. However, CV opening still maintain at 90%.  ATR: As found: 1)Leakage at tubing connector between fairchild relay to the trip valve. 2)Leakage at fairchild relay. 3)Valve stuck. Advice to raise defect 1)Rectify but still minor leak.  Work Request: 1)To replace control valve   Remarks: NA  Meerza Resources Sdn Bhd (Azirudin - 014-5169000 / Mohamad Azri Musa - 017-9841113)"
582,TO ERRECT SCAFFOLDING AT CT SPILLBACK Work Request : CIVIL to errect scaffolding at Cooling Tower Spillback line.  Remark: ASU plant to perform troubleshooting and require to adjusting CW discharge pressure by controlling manual valve. TO ERRECT SCAFFOLDING AT CT SPILLBACK TO ERRECT SCAFFOLDING AT CT SPILLBACK Work Request : CIVIL to errect scaffolding at Cooling Tower Spillback line.  Remark: ASU plant to perform troubleshooting and require to adjusting CW discharge pressure by controlling manual valve.
583,CW: PH tx (123QIA-001-TX) reading freeze  CW: PH analyser (123QIA-001-TX) reading CW: PH analyser (123QIA-001-TX) reading freeze
584,IAP: IA compressor B SOV load/unload not IAP: IA compressor B SOV load/unload not healthy.  1st line troubleshooting: - Direct defect.  Integrated troubleshooting: - As mention by ME Nawal. Request to replace SOV with spare solenoid. to replace comp B SOV load/unload not to replace comp B SOV load/unload not IAP: IA compressor B SOV load/unload not healthy.  1st line troubleshooting: - Direct defect.  Integrated troubleshooting: - As mention by ME Nawal. Request to replace SOV with spare solenoid.
585,IA COMP C 1ST STG AUTO DRAIN STUCK OPEN SUSPECTED SOLENOID FAULTY. IA COMP C 2ND STG AUTO DRAIN STUCK OPEN IA COMP C 2ND STG AUTO DRAIN STUCK OPEN SUSPECTED SOLENOID FAULTY.
